name,id,shortName,domainType,formName,valueType,categoryCombo.id
"2.1 Staff list(s) including registration, qualification, current deployment, etc. is available.",mXO566am3l0,2.1 Staff list(s) including registration,TRACKER,"1.2 Staff list(s) including registration, qualification, current deployment, etc. is available.",NUMBER,OzshuDqmXQI
2.1 Total water points (as per field register),yPimcOKDfJp,2.1 Total water points (as per field register),AGGREGATE,,NUMBER,sk3KurwuUFb
2.10 Enhanced team work/team building demonstrated,evPGtNJmydE,2.10 Enhanced team work/team building de,TRACKER,2.10 Enhanced team work/team building demonstrated,NUMBER,OzshuDqmXQI
2.2 All vacancies/positions are filled as required,CDBJwRwYOW0,All vacancies/positions are filled as re,TRACKER,2.2 All vacancies/positions are filled as required,NUMBER,OzshuDqmXQI
2.2 MOH 706_OGTT High,KbuPt8F5BL9,2.2 MOH 706_OGTT High,AGGREGATE,Blood sugar,NUMBER,OzshuDqmXQI
2.2 MOH 706_OGTT Low,wFnVa14Gbvb,2.2 MOH 706_OGTT Low,AGGREGATE,Blood sugar,NUMBER,OzshuDqmXQI
2.2 MOH 706_OGTT Total,iurCetYzazS,2.2 MOH 706_OGTT Total,AGGREGATE,Blood sugar,NUMBER,OzshuDqmXQI
2.2 No. of water points  licensed/ commissioned,v8ujI55wBUp,2.2 No. of water points  licensed/ commissioned,AGGREGATE,,NUMBER,sk3KurwuUFb
2.2.6  Power supply and lighting is available at all times,TeZbMKStgcR,2.2.6  Power supply and lighting,TRACKER,2.2.6  Power supply and lighting is available at all times,NUMBER,OzshuDqmXQI
2.3 All employees know their job descriptions.,IXP3ZlZVyNA,2.3 All employees know their job descrip,TRACKER,2.3 All employees know their job descriptions.,NUMBER,OzshuDqmXQI
2.3 No. of water points inspected,MKRPNk1zEEd,2.3 No. of water points inspected,AGGREGATE,,NUMBER,sk3KurwuUFb
2.4 No. of water points with samples taken,frV9qtONIpg,2.4 No. of water points with samples taken,AGGREGATE,,NUMBER,sk3KurwuUFb
2.4 Staff are appraised on an annual basis,bRGVHcn7Cvv,2.4 Staff are appraised on an annual bas,TRACKER,2.4 Staff are appraised on an annual basis,NUMBER,OzshuDqmXQI
2.5 Continuous professional development programme available,MYeuz0a2PQN,2.5 Continuous professional development ,TRACKER,2.5 Continuous professional development programme available,NUMBER,OzshuDqmXQI
2.5 No. of premises served with intimation notices,sqgMXvby1jb,2.5 No. of premises served with intimation notices,AGGREGATE,,NUMBER,sk3KurwuUFb
2.6 No. of previous intimation notices complied,Tunh7MBRsOn,2.6 No. of previous intimation notices complied,AGGREGATE,,NUMBER,sk3KurwuUFb
2.6 Regular updates by senior medical staff / supervisors on Standards and Guidelines are done,btOeglNWdzk,2.6 Regular updates by senior medical ,TRACKER,2.6 Regular updates by senior medical staff / supervisors on Standards and Guidelines are done,NUMBER,OzshuDqmXQI
2.7 Staff are involved and participate in quality assessment and improvement,yyV0Azqpkh3,2.7 Staff are involved and participate,TRACKER,2.7 Staff are involved and participate in quality assessment and improvement,NUMBER,OzshuDqmXQI
2.8.1 Medical Staff safety programmes are regularly assessed and improved.,s0h4FpByito,2.8.1 Medical Staff safety programmes,TRACKER,2.8.1 Medical Staff safety programmes are regularly assessed and improved.,NUMBER,OzshuDqmXQI
2.8.2 Safety measures and guidelines for non medical departments are in place and known to all staff,S4LLn8h4ins,2.8.2 Safety measures and guidelines,TRACKER,2.8.2 Safety measures and guidelines for non medical departments are in place and known to all staff,NUMBER,OzshuDqmXQI
2.9 Efforts to improve staff motivation are demonstrated,Nn7ZazqKUbV,2.9 Efforts to improve staff motivation ,TRACKER,2.9 Efforts to improve staff motivation are demonstrated,NUMBER,OzshuDqmXQI
20. Results at 8 months HIV-,VnzqFzXcjOu,20. 8 months HIV-,AGGREGATE,20. Results at 8 months HIV-,NUMBER,VemQawTaBIQ
2000000 Expenditure,kQ4NVgc2MYs,2000000 Expenditure,AGGREGATE,2000000 Expenditure,NUMBER,OzshuDqmXQI
21. Results at 8 months HIV Test Not Done,jxKm10PnvYy,21.8 months HIV Test Not ,AGGREGATE,21. Results at 8 months HIV Test Not Done,NUMBER,VemQawTaBIQ
2110200 Basic Wages - Temporary Employees,jY3JFizFzQN,2110200 Basic Wages - Temporary Employee,AGGREGATE,2110200 Basic Wages - Temporary Employees,NUMBER,OzshuDqmXQI
2110201 Contractual Employees,usMDjlboKn4,2110201 Contractual Employees,AGGREGATE,2110201 Contractual Employees,NUMBER,OzshuDqmXQI
2110202 Casual Labour Wages,WuEJXcFURTY,2110202 Casual Labour Wages,AGGREGATE,2110202 Casual Labour Wages,NUMBER,OzshuDqmXQI
22. Number on ART,al6yickJqm2,22. Number on ART,AGGREGATE,22. Number on ART,NUMBER,VemQawTaBIQ
2210100 Utilities & Courier Services,OV5vbWwUObv,2210100 Utilities & Courier Services,AGGREGATE,2210100 Utilities & Courier Services,NUMBER,OzshuDqmXQI
2210101 Electricity,t75eApxzxfv,2210101 Electricity,AGGREGATE,2210101 Electricity,NUMBER,OzshuDqmXQI
2210102 Water & Sewerage charges,q04fFLke4PE,2210102 Water & Sewerage charges,AGGREGATE,2210102 Water & Sewerage charges,NUMBER,OzshuDqmXQI
2210200 Communication Supplies & Services,IxfhqZSgGy9,2210200 Communication Supplies & Service,AGGREGATE,2210200 Communication Supplies & Services,NUMBER,OzshuDqmXQI
2210201 Telephone Telex Fax & Mobiles ,QrHdlGiLTpv,2210201 Telephone Telex Fax & Mobiles ,AGGREGATE,2210201 Telephone Telex Fax & Mobiles ,NUMBER,OzshuDqmXQI
2210202 Internet Connection,nGagRoo4BzA,2210202 Internet Connection,AGGREGATE,2210202 Internet Connection,NUMBER,OzshuDqmXQI
2210203 Courier & Postal Services,RijWww0GNyd,2210203 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210300 Domestic Travel & Accomodation,olXO38PrLGo,2210300 Domestic Travel & Accomodation,AGGREGATE,2210300 Domestic Travel & Accomodation,NUMBER,OzshuDqmXQI
"2210301 Domestic Travel Costs (Air, Bus, Rail, Mileage)",sDEtpJj8IeQ,"2210301 Domestic Travel Costs (Air, Bus,",AGGREGATE,"2210301 Domestic Travel Costs (Air, Bus, Rail, Mileage)",NUMBER,OzshuDqmXQI
"2210301 Travel costs (airlines, bus, railway, mileage allowance, etc)",Veo55GTrxyW,2210301 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210302 Accommodation,fxaoLwdTFuP,2210302 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210302 Domestic Accomodation,VV8rxMutqgB,2210302 Domestic Accomodation,AGGREGATE,2210302 Domestic Accomodation,NUMBER,OzshuDqmXQI
2210303 Outreach Services (DSA),W6kjK1t3oha,2210303 Outreach Services (DSA),AGGREGATE,"",NUMBER,OzshuDqmXQI
"2210304 Domestic Sundry Items (Airport Tax, Taxis)",Xa6MeCCoxXx,2210304 Domestic Sundry Items (Airport T,AGGREGATE,"2210304 Domestic Sundry Items (Airport Tax, Taxis)",NUMBER,OzshuDqmXQI
"2210304 Sundry Items (airport tax and taxis, etc)",Hc2wXHjhMTV,2210304 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210400 Foreign Travel & Accomodation,Wch6ja2TP8R,2210400 Foreign Travel & Accomodation,AGGREGATE,2210400 Foreign Travel & Accomodation,NUMBER,OzshuDqmXQI
"2210401 Foreign Travel Costs (Air, Bus, Rail, Mileage)",hfT1b7RoYWt,"2210401 Foreign Travel Costs (Air, Bus, ",AGGREGATE,"2210401 Foreign Travel Costs (Air, Bus, Rail, Mileage)",NUMBER,OzshuDqmXQI
"2210401 Travel costs (airlines, bus, railway, etc)",xdo6ORudvxq,2210401 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210402 Accommodation,zVr0uK8UxRu,2210402 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210402 Foreign Accomodation,fVWiEwAe580,2210402 Foreign Accomodation,AGGREGATE,2210402 Foreign Accomodation,NUMBER,OzshuDqmXQI
2210403 Daily Subsistence Allowance,GGD7BZFoT3p,2210403 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210403 Foreign Subsistence Allowance,hktyi9OrG8d,2210403 Foreign Subsistence Allowance,AGGREGATE,2210403 Foreign Subsistence Allowance,NUMBER,OzshuDqmXQI
"2210404 Foreign Sundry Items (Airport Tax, Taxis)",aHdwxFDddQf,2210404 Foreign Sundry Items (Airport Ta,AGGREGATE,"2210404 Foreign Sundry Items (Airport Tax, Taxis)",NUMBER,OzshuDqmXQI
"2210404 Sundry Items (airport tax and taxis, etc)",d357IrllpNC,2210404 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210405 Foreign Shipment of Personal & Household Effects,ywlCbfqDrqX,2210405 Foreign Shipment of Personal & H,AGGREGATE,2210405 Foreign Shipment of Personal & Household Effects,NUMBER,OzshuDqmXQI
2210405 Shipment of Personal & Household Effects,dbcSzsSo32R,2210405 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210500 Advertising Publishing & Other Info Services,ZOWo7CBpBcC,2210500 Advertising Publishing & Other I,AGGREGATE,2210500 Advertising Publishing & Other Info Services,NUMBER,OzshuDqmXQI
2210502 Publishing & Printing Services,DOPHF9sDlCE,2210502 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210502 Publishing and Printing Services,lnVrr5e4mXi,2210502 Publishing & Printing Services,AGGREGATE,2210502 Publishing & Printing Services,NUMBER,OzshuDqmXQI
2210503 Subscription to Newspaper Magazine & Periodical,ExdHERqIX5P,2210503 Subscription to Newspaper Magazi,AGGREGATE,2210503 Subscription to Newspaper Magazine & Periodical,NUMBER,OzshuDqmXQI
"2210503 Subscriptions to Newspapers, Magazines & Periodicals",ImwC9UzlRI7,2210503 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210504 Advertising Awareness & Publicity Campaigns,PpXS2y8BvsK,2210504 Advertising Awareness & Publicit,AGGREGATE,2210504 Advertising Awareness & Publicity Campaigns,NUMBER,OzshuDqmXQI
"2210504 Advertising, Awareness and Publicity Campaigns",lEy0IkcpPaC,2210504 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210505 Trade Shows & Exhibitions,stF6pYbR57c,2210505 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210700 Training & Workshops,UiihYhUyv36,2210700 Training & Workshops,AGGREGATE,2210700 Training & Workshops,NUMBER,OzshuDqmXQI
2210701 Travel Allowance,h8JR0DwgjDb,2210701 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210701 Travel Allowances,uHj0fEYrjTx,2210701 Travel Allowances,AGGREGATE,2210701 Travel Allowances,NUMBER,OzshuDqmXQI
2210703 Production & Printing of Training Materials,Q3Dtz4uTL0J,2210703 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210704 Hire of Training Facilities & Equipment,nUM4jocIXP5,2210704 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210710 Accommodation Allowances,JZ89TH1Uw7h,2210710 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210711 Tuition Fees Allowances,loyPvOedny8,2210711 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2210800 Hospitality & Board,R3ZjwWO6pp6,2210800 Hospitality & Board,AGGREGATE,2210800 Hospitality & Board,NUMBER,OzshuDqmXQI
"2210801 Catering Services, Accommodation, Gifts, Foods & Drinks",Tpp5Fh9rV07,2210801 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
"2210802 Boards, Committees, Conferences & Seminars",RIdOyfRqT15,2210802 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211000 Specialised Materials & Supplies,KAVPEvsu7GB,2211000 Specialised Materials & Supplies,AGGREGATE,2211000 Specialised Materials & Supplies,NUMBER,OzshuDqmXQI
2211001 Medical Drugs,sW1FEKkUlno,2211001 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211002 Dressings & Non Pharmaceuticals,JgjYnWEbbXI,2211002 Dressings & Non Pharmaceuticals,AGGREGATE,2211002 Dressings & Non Pharmaceuticals,NUMBER,OzshuDqmXQI
2211002 Dressings and non-pharmaceuticals,BQP76E4mnEP,2211002 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
"2211004 Fungicides, Insecticides & Sprays",GeLsHQnBJSl,2211004 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211005 Chemicals & Industrial Gases,Anntg74AWAc,2211005 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
"2211008 Lab Materials, Supplies & Small Equipment",NAWDpCTju9c,2211008 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211009 Education & Library Supplies,uIKFwsGjL8l,2211009 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211011 Purchase/Production of Photographic & Audio Visual Materials,zfE43ojuX27,2211011 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211015 Food & Rations,Jm0j7eIJw22,2211015 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211016 Staff Uniforms and Clothing,Kvrh6Edh4ux,2211016 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211019 Patients Uniforms and Clothing,kZVa4Dfz3oW,2211019 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211020 Staff Uniforms and Clothing Allowances,ozuOGiiROjR,2211020 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211021 Purchase of Bedding & Linen,zq5cC1mHOjZ,2211021 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211022 Supplies for Production,kkKxlgb0SIK,2211022 Supplies for Production,AGGREGATE,2211022 Supplies for Production,NUMBER,OzshuDqmXQI
2211023 Supplies for Production,ChuFUyaFoat,2211023 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211026 Purchase of Vaccines & Sera,Ta4fC50ws12,2211026 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211028 Purchase of X-Rays Supplies,pMp1v17OVlZ,2211028 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211100 General Office Supplies & Services,ktAiKqEgewS,2211100 General Office Supplies & Servic,AGGREGATE,2211100 General Office Supplies & Services,NUMBER,OzshuDqmXQI
"2211101 General Office Supplies (paper, pencils, forms, small office equipment, etc)",eWJI88NUHju,2211101 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211102 Supplies & Accessories for Computers & Printers,ZL5umjFvNZT,2211102 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211103 Sanitary & Cleaning Materials,kMyKJqs4tP6,2211103 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211200 Fuel & Lubricants,JfMlkDb7sfP,2211200 Fuel & Lubricants,AGGREGATE,2211200 Fuel & Lubricants,NUMBER,OzshuDqmXQI
2211201 Refined Fuels & Lubricants for Transport,ERUP9jd5kr8,2211201 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211202 Refined Fuels & Lubricants for Production,VE7bP4Hd0Y8,2211202 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211300 Other Operating Expenses,G10FiANc4uK,2211300 Other Operating Expenses,AGGREGATE,2211300 Other Operating Expenses,NUMBER,OzshuDqmXQI
2211301 Bank Service Commission & Charges,jER1yfrClYQ,2211301 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211301 Bank changes,dPRTEEcXbSy,2211301 Bank changes,AGGREGATE,"",NUMBER,OzshuDqmXQI
2211305 Contracted Guards & Cleaning Services,zmTKl26bqXb,2211305 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
"2211307 Transport Costs & Charges (freight, loading/unloading, clearing & shipping charges)",JqVPN31hItf,2211307 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211310 Contracted Professional Services,FNaQfndi92d,2211310 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211311 Contracted Technical Services,pwYhMY7SObK,2211311 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2211399 Total Other Operating Expenses,Y6uJakxkzDC,2211399 Total Other Operating Expenses,AGGREGATE,2211399 Total Other Operating Expenses,NUMBER,OzshuDqmXQI
2220100 M/Vehicle & Other Transp Equip Repair & Maint,T6Zosl4H5TG,2220100 M/Vehicle & Other Transp Equip R,AGGREGATE,2220100 M/Vehicle & Other Transp Equip Repair & Maint,NUMBER,OzshuDqmXQI
2220101 Maintenance Expenses – Motor Vehicles,W53qF6leiPm,2220101 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2220102 Maintenance Expenses – Boats & Ferries,MxceLE1Wgwj,2220102 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2220199 Total M/Vehic & Other Transp Equip Repair & Maint,fORxLUrFSaD,2220199 Total M/Vehic & Other Transp Equ,AGGREGATE,2220199 Total M/Vehic & Other Transp Equip Repair & Maint,NUMBER,OzshuDqmXQI
2220200 Other Assets Repairs & Routine Maintenance,HGfobnG3qSX,2220200 Other Assets Repairs & Routine M,AGGREGATE,2220200 Other Assets Repairs & Routine Maintenance,NUMBER,OzshuDqmXQI
"2220201 Maintenance of Plant, Machinery & Equipment (including lifts)",WypNzlF1rxb,2220201 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2220202 Maintenance of Office Furniture & Fittings,kltZozM5rkg,2220202 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2220205 Maintenance of Buildings & Stations (non-residential),SWHhf1eE89t,2220205 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
"2220210 Maintenance of Computers, Software & Networks",qLWHhVTIp0l,2220210 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
2220299 Total Other Assets Repairs & Routine Maintenance,fxTJs6WIZ9K,2220299 Total Other Assets Repairs & Rou,AGGREGATE,2220299 Total Other Assets Repairs & Routine Maintenance,NUMBER,OzshuDqmXQI
23. Number on CPT,cNsmCOqT5MX,23. Number on CPT,AGGREGATE,23. Number on CPT,NUMBER,VemQawTaBIQ
24. Results at 2 months ,irWnGTjEft5,24. Results at 2 months ,AGGREGATE,24. Results at 2 months ,NUMBER,gQHAh67d3bm
25. Results at 5 months,T9BoPR7Y9jj,25.Results at 5 months,AGGREGATE,25. Results at 5 months,NUMBER,gQHAh67d3bm
27. Results at 8 months -HIV +,wgjaV60n3mD,27. 8 months -HIV +,AGGREGATE,27. Results at 8 months -HIV +,NUMBER,gQHAh67d3bm
28. Results at 8 months HIV-,qSn3rSt2MXd,28. 8 months HIV-,AGGREGATE,28. Results at 8 months HIV-,NUMBER,gQHAh67d3bm
29. Results at 8 months HIV Test Not Done,qgdtO92N59g,29.8 months HIV Test Not ,AGGREGATE,29. Results at 8 months HIV Test Not Done,NUMBER,gQHAh67d3bm
2nd Dose Tetanus Toxoid for pregnant  women (Health Facility),S6O7oxtiHe6,2nd Dose Tetanus Toxoid for pregnant  HF,AGGREGATE,2nd Dose Tetanus Toxoid for pregnant  women (Health Facility),NUMBER,OzshuDqmXQI
2nd Dose Tetanus Toxoid for pregnant  women (Outreach),AkMQnju3g7m,2nd Dose Tetanus Toxoid for pregnant out,AGGREGATE,2nd Dose Tetanus Toxoid for pregnant  women (Outreach),NUMBER,OzshuDqmXQI
2nd delay - Lack of communication / transport from home to health care facility,iBUti3kpWsZ,2nd delay - Lack of communication ,TRACKER,2nd delay - Lack of communication / transport from home to health care facility,TEXT,OzshuDqmXQI
2nd delay - Lack of transport between health care facilities,lndYgVJv58h,2nd delay - Lack of transport btw HF,TRACKER,2nd delay - Lack of transport between health care facilities,TEXT,OzshuDqmXQI
2nd delay - Long distances / poor roads,xaa1SS9puMM,2nd delay - Long distances / poor roads,TRACKER,2nd delay - Long distances / poor roads,TEXT,OzshuDqmXQI
"2nd delay - Other, specify",LRGDw6JkiG9,"2nd delay - Other, specify",TRACKER,"2nd delay - Other, specify",LONG_TEXT,OzshuDqmXQI
3. Action points by facility ,RrKNyT7cfYr,3. Action points by facility ,TRACKER,3. Action points by facility ,LONG_TEXT,OzshuDqmXQI
3. Number HIV +,Vri74blSuoL,3. Number HIV +,AGGREGATE,3. Number HIV +,NUMBER,LO0zmuJyxEl
3. Number MDR-TB tested HIV+,PZxFOwfXC1u,3. Number MDR-TB tested H,AGGREGATE,3. Number MDR-TB tested HIV+,INTEGER_POSITIVE,UheHlwUK9Zo
3. Responsible Person ,GKVuZHFMfXP,3. Responsible Person ,TRACKER,3. Responsible Person ,LONG_TEXT,OzshuDqmXQI
3. Results at 8 months,BKxlVvRo73I,3. Results at 8 months,AGGREGATE,3. Results at 8 months,NUMBER,gQHAh67d3bm
3. Return After Default (RAD),ln66sDexuU6,Return After Default (RAD,AGGREGATE,3. Return After Default (RAD),NUMBER,pFQ7rAd4b5t
3. Timeframe,zySi8SJxL9o,3. Timeframe,TRACKER,3. Timeframe,LONG_TEXT,OzshuDqmXQI
3.1 Cereals/Pulses,gVafPHVovMu,3.1 Cereals/Pulses,AGGREGATE,,NUMBER,sk3KurwuUFb
3.1 Health workers are familiar with Health Sector planning documents,NEk6hageG3f,3.1 Health workers are familiar with HSP,TRACKER,3.1 Health workers are familiar with Health Sector planning documents,NUMBER,OzshuDqmXQI
3.2 Oils and Fats,IXQTRtjlKYI,3.2 Oils and Fats,AGGREGATE,,NUMBER,sk3KurwuUFb
3.2 Standards and guidelines for the six priority PHC packages available.,tfQaOkwDcl8,3.2 Standards and guidelines for the six,TRACKER,3.2 Standards and guidelines for the six priority PHC packages available.,NUMBER,OzshuDqmXQI
3.3 Alcoholic beverages,goJf79GdAfO,3.3 Alcoholic beverages,AGGREGATE,,NUMBER,sk3KurwuUFb
3.3 Culture for acquisition and use of Standards and guidelines is demonstrated.,KF1CNElpHXN,3.3 Culture for acquisition and use,TRACKER,3.3 Culture for acquisition and use of Standards and guidelines is demonstrated.,NUMBER,OzshuDqmXQI
3.4 Non-alcoholic beverages,ki4Icb6Zoin,3.4 Non-alcoholic beverages,AGGREGATE,,NUMBER,sk3KurwuUFb
3.4 Timely implementation of the Facility health plan.,D4M0ujydBo2,3.4 Timely implementation of the Facilit,TRACKER,3.4 Timely implementation of the Facility health plan.,NUMBER,OzshuDqmXQI
3.5 Facility’s Health Plan is evidence-based.,jd960cIz7x7,3.5 Facility’s Health Plan is evidence-b,TRACKER,3.5 Facility’s Health Plan is evidence-based.,NUMBER,OzshuDqmXQI
3.5 Fruits and Vegetables,j8740ka4Bxs,3.5 Fruits and Vegetables,AGGREGATE,,NUMBER,sk3KurwuUFb
3.6 Other,b63PiU0q1Mt,3.6 Other,AGGREGATE,,NUMBER,sk3KurwuUFb
30. Number on CPT,UE2XWmbf5hv,30. Number on CPT,AGGREGATE,30. Number on CPT,NUMBER,gQHAh67d3bm
3000000 EXPENDITURE,pSAn37OHdRt,3000000 EXPENDITURE,AGGREGATE,3000000 EXPENDITURE,NUMBER,OzshuDqmXQI
31. Number on ART,mFHpgiiqnAN,31. Number on ART,AGGREGATE,31. Number on ART,NUMBER,gQHAh67d3bm
3110500 Construction & Civil Works,s2Ha3e0xwwp,3110500 Construction & Civil Works,AGGREGATE,3110500 Construction & Civil Works,NUMBER,OzshuDqmXQI
3110502 Water Supplies & Sewerage,RMsgMQj2SBM,3110502 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
3110599 Other Infrastructure & Civil Works,X3nuiSHRJJP,3110599 exp.,AGGREGATE,,NUMBER,OzshuDqmXQI
3110699 Total Construction & Civil Works,DKoUZ8OemCa,3110699 Total Construction & Civil Works,AGGREGATE,3110699 Total Construction & Civil Works,NUMBER,OzshuDqmXQI
